time,concentration a (%),concentration b (%),concentration total (%),volume a (ml),volume b (ml),volume total (ml)
0.0,10.0,90.0,100.0,0.0,0.0,0.0
1.0,10.0,90.0,100.0,4.0,36.0,40.0
2.0,12.4,87.6,100.0,6.8,72.8,79.6
3.0,17.1,82.9,100.0,9.8,109.8,119.6
4.0,21.8,78.2,100.0,14.8,144.8,159.6
5.0,26.5,73.5,100.0,21.6,178.0,199.6
6.0,31.3,68.7,100.0,30.3,209.3,239.6
7.0,36.0,64.0,100.0,40.9,238.7,279.6
8.0,40.7,59.3,100.0,53.4,266.2,319.6
9.0,45.4,54.6,100.0,67.8,291.8,359.6
10.0,50.1,49.9,100.0,84.1,315.5,399.6
11.0,54.9,45.1,100.0,102.3,337.3,439.6
12.0,59.6,40.4,100.0,122.3,357.3,479.6
13.0,64.3,35.7,100.0,144.3,375.3,519.6
14.0,69.0,31.0,100.0,168.1,391.5,559.6
15.0,73.8,26.2,100.0,193.8,405.8,599.6
16.0,78.5,21.5,100.0,221.4,418.2,639.6
17.0,83.2,16.8,100.0,250.9,428.7,679.6
18.0,87.9,12.1,100.0,282.3,437.3,719.6
19.0,92.6,7.4,100.0,315.6,444.0,759.6
20.0,95.0,5.0,100.0,351.6,447.6,799.2
21.0,10.0,90.0,100.0,372.2,466.6,838.8
22.0,10.0,90.0,100.0,376.2,502.6,878.8
23.0,10.0,90.0,100.0,380.2,538.6,918.8
